 ,Dense,Sparse,
FAST&FAIR,0.52126,0.529737,
LB+Trees,0.557513,0.529076,
WORT,0.854824,0.816601,
WOART, 0.713487,0.597815,
ROART,0.726079,0.524266,
ERT,1.79447,1.19883,
